Entity,Code,Year,Fossil fuels per capita (kWh)
Austria,AUT,1983,27780.08
Austria,AUT,1984,28851.346
Austria,AUT,1985,29329.434
Austria,AUT,1986,29197.152
Austria,AUT,1987,29909.434
Austria,AUT,1988,29193.416
Austria,AUT,1989,29360.508
Austria,AUT,1990,30865.15
Austria,AUT,1991,32558.14
Austria,AUT,1992,30290.568
Austria,AUT,1993,30303.47
Austria,AUT,1994,30238.568
Austria,AUT,1995,31723.951
Austria,AUT,1996,33856.094
Austria,AUT,1997,33673.223
Austria,AUT,1998,34270.203
Austria,AUT,1999,33436.324
Austria,AUT,2000,33253.867
Austria,AUT,2001,35063.773
Austria,AUT,2002,35145.586
Austria,AUT,2003,37537.383
Austria,AUT,2004,37599.38
Austria,AUT,2005,38014.77
Austria,AUT,2006,37020.414
Austria,AUT,2007,35323.31
Austria,AUT,2008,35321.387
Austria,AUT,2009,32523.871
Austria,AUT,2010,34623.395
Austria,AUT,2011,32879.44
Austria,AUT,2012,31579.602
Austria,AUT,2013,31344.254
Austria,AUT,2014,29432.53
Austria,AUT,2015,30144.947
Austria,AUT,2016,30335.36
Austria,AUT,2017,31110.197
Austria,AUT,2018,30322.547
Austria,AUT,2019,31098.203
Austria,AUT,2020,27766.033
Austria,AUT,2021,29200.68
Austria,AUT,2022,27159.941
Austria,AUT,2023,25737.123
Azerbaijan,AZE,1985,33531.336
Azerbaijan,AZE,1986,35732.816
Azerbaijan,AZE,1987,34018.645
Azerbaijan,AZE,1988,33484.992
Azerbaijan,AZE,1989,33744.9
Azerbaijan,AZE,1990,34417.613
Azerbaijan,AZE,1991,32520.611
Azerbaijan,AZE,1992,27373.764
Azerbaijan,AZE,1993,23101.287
Azerbaijan,AZE,1994,21152.613
Azerbaijan,AZE,1995,19779.477
Azerbaijan,AZE,1996,16001.271
Azerbaijan,AZE,1997,15136.405
Azerbaijan,AZE,1998,15032.282
Azerbaijan,AZE,1999,15046.717
Azerbaijan,AZE,2000,15569.463
Azerbaijan,AZE,2001,14900.381
Azerbaijan,AZE,2002,14298.943
Azerbaijan,AZE,2003,15228.88
Azerbaijan,AZE,2004,17058.92
Azerbaijan,AZE,2005,18278.164
Azerbaijan,AZE,2006,17907.168
Azerbaijan,AZE,2007,16262.671
Azerbaijan,AZE,2008,16099.592
Azerbaijan,AZE,2009,13565.871
Azerbaijan,AZE,2010,12868.885
Azerbaijan,AZE,2011,14783.35
Azerbaijan,AZE,2012,15296.674
Azerbaijan,AZE,2013,15594.72
Azerbaijan,AZE,2014,15749.371
Azerbaijan,AZE,2015,16941.422
Azerbaijan,AZE,2016,16490.473
Azerbaijan,AZE,2017,16072.636
Azerbaijan,AZE,2018,16833.99
Azerbaijan,AZE,2019,17694.033
Azerbaijan,AZE,2020,17639.72
Azerbaijan,AZE,2021,18764.215
Azerbaijan,AZE,2022,19832.1
Azerbaijan,AZE,2023,21373.877
Bangladesh,BGD,1971,188.50717
Bangladesh,BGD,1972,211.59084
Bangladesh,BGD,1973,260.05392
Bangladesh,BGD,1974,274.5525
Bangladesh,BGD,1975,268.29678
Bangladesh,BGD,1976,306.78494
Bangladesh,BGD,1977,309.0183
Bangladesh,BGD,1978,319.06598
Bangladesh,BGD,1979,342.56836
Bangladesh,BGD,1980,393.50113
Bangladesh,BGD,1981,406.14758
Bangladesh,BGD,1982,441.47354
Bangladesh,BGD,1983,419.92932
Bangladesh,BGD,1984,436.09802
Bangladesh,BGD,1985,480.29718
Bangladesh,BGD,1986,521.0646
Bangladesh,BGD,1987,561.8036
Bangladesh,BGD,1988,609.41785
Bangladesh,BGD,1989,637.72974
Bangladesh,BGD,1990,664.89954
Bangladesh,BGD,1991,629.5759
Bangladesh,BGD,1992,677.22986
Bangladesh,BGD,1993,737.42566
Bangladesh,BGD,1994,762.752
Bangladesh,BGD,1995,899.95435
Bangladesh,BGD,1996,917.752
Bangladesh,BGD,1997,948.5861
Bangladesh,BGD,1998,989.15094
Bangladesh,BGD,1999,982.3862
Bangladesh,BGD,2000,1036.4779
Bangladesh,BGD,2001,1159.4683
Bangladesh,BGD,2002,1146.8385
Bangladesh,BGD,2003,1192.2144
Bangladesh,BGD,2004,1247.9562
Bangladesh,BGD,2005,1334.0037
Bangladesh,BGD,2006,1427.4062
Bangladesh,BGD,2007,1452.9916
Bangladesh,BGD,2008,1513.2169
Bangladesh,BGD,2009,1663.2365
Bangladesh,BGD,2010,1676.961
Bangladesh,BGD,2011,1789.1952
Bangladesh,BGD,2012,1922.3849
Bangladesh,BGD,2013,1973.1709
Bangladesh,BGD,2014,2027.6733
Bangladesh,BGD,2015,2419.4265
Bangladesh,BGD,2016,2401.0813
Bangladesh,BGD,2017,2467.9375
Bangladesh,BGD,2018,2609.0083
Bangladesh,BGD,2019,2895.676
Bangladesh,BGD,2020,2713.0447
Bangladesh,BGD,2021,2887.213
Bangladesh,BGD,2022,3000.6523
Bangladesh,BGD,2023,2910.3843
Belarus,BLR,1985,40262.094
Belarus,BLR,1986,45657.13
Belarus,BLR,1987,46010.918
Belarus,BLR,1988,46387.63
Belarus,BLR,1989,44630.234
Belarus,BLR,1990,44676.812
Belarus,BLR,1991,44451.13
Belarus,BLR,1992,38479.266
Belarus,BLR,1993,32160.344
Belarus,BLR,1994,26897.057
Belarus,BLR,1995,23958.543
Belarus,BLR,1996,24633.928
Belarus,BLR,1997,25001.521
Belarus,BLR,1998,24549.229
Belarus,BLR,1999,23996.287
Belarus,BLR,2000,24854.432
Belarus,BLR,2001,24293.52
Belarus,BLR,2002,25296.654
Belarus,BLR,2003,25280.51
Belarus,BLR,2004,28494.363
Belarus,BLR,2005,28585.334
Belarus,BLR,2006,30583.52
Belarus,BLR,2007,29979.7
Belarus,BLR,2008,30478.078
Belarus,BLR,2009,28896.02
Belarus,BLR,2010,31384.383
Belarus,BLR,2011,30898.94
Belarus,BLR,2012,33462.785
Belarus,BLR,2013,30262.42
Belarus,BLR,2014,30325.256
Belarus,BLR,2015,27421.707
Belarus,BLR,2016,27981.426
Belarus,BLR,2017,28401.738
Belarus,BLR,2018,31487.777
Belarus,BLR,2019,31676.77
Belarus,BLR,2020,29360.775
Belarus,BLR,2021,30062.072
Belarus,BLR,2022,29259.064
Belarus,BLR,2023,27749.463
Belgium,BEL,1965,43788.027
Belgium,BEL,1966,41934.61
Belgium,BEL,1967,43791.316
Belgium,BEL,1968,48609.234
Belgium,BEL,1969,53172.094
Belgium,BEL,1970,55943.594
Belgium,BEL,1971,54719.27
Belgium,BEL,1972,57953.844
Belgium,BEL,1973,58515.125
Belgium,BEL,1974,56344.72
Belgium,BEL,1975,51002.91
Belgium,BEL,1976,53266.04
Belgium,BEL,1977,52652.246
Belgium,BEL,1978,54868.15
Belgium,BEL,1979,56781.16
Belgium,BEL,1980,53791.76
Belgium,BEL,1981,50769.47
Belgium,BEL,1982,47609.375
Belgium,BEL,1983,43531.46
Belgium,BEL,1984,44729.492
Belgium,BEL,1985,45055.184
Belgium,BEL,1986,45363.75
Belgium,BEL,1987,46247.23
Belgium,BEL,1988,47009.688
Belgium,BEL,1989,47909.453
Belgium,BEL,1990,50044.438
Belgium,BEL,1991,52027.84
Belgium,BEL,1992,51546.68
Belgium,BEL,1993,50843.38
Belgium,BEL,1994,54304.81
Belgium,BEL,1995,54750.83
Belgium,BEL,1996,58201.008
Belgium,BEL,1997,57601.645
Belgium,BEL,1998,59092.246
Belgium,BEL,1999,57551.996
Belgium,BEL,2000,58793.934
Belgium,BEL,2001,58480.18
Belgium,BEL,2002,57679.59
Belgium,BEL,2003,60190.098
Belgium,BEL,2004,60170.812
Belgium,BEL,2005,58836.945
Belgium,BEL,2006,58746.125
Belgium,BEL,2007,58365.29
Belgium,BEL,2008,59586.902
Belgium,BEL,2009,52864.445
Belgium,BEL,2010,56317.94
Belgium,BEL,2011,50823.25
Belgium,BEL,2012,49282.625
Belgium,BEL,2013,49722.242
Belgium,BEL,2014,46812.81
Belgium,BEL,2015,48478.523
Belgium,BEL,2016,48750.54
Belgium,BEL,2017,48984.09
Belgium,BEL,2018,51340.97
Belgium,BEL,2019,49405.62
Belgium,BEL,2020,43686.953
Belgium,BEL,2021,46635.91
Belgium,BEL,2022,43711.547
Belgium,BEL,2023,41036.965
Brazil,BRA,1965,2344.7559
Brazil,BRA,1966,2486.3665
Brazil,BRA,1967,2499.5444
Brazil,BRA,1968,2870.9595
Brazil,BRA,1969,3075.967
Brazil,BRA,1970,3428.7139
Brazil,BRA,1971,3766.2275
Brazil,BRA,1972,4155.645
Brazil,BRA,1973,4846.895
Brazil,BRA,1974,5249.527
Brazil,BRA,1975,5331.9624
Brazil,BRA,1976,5609.638
Brazil,BRA,1977,5678.0044
Brazil,BRA,1978,6108.4585
Brazil,BRA,1979,6364.0054
Brazil,BRA,1980,6106.2324
Brazil,BRA,1981,5748.82
Brazil,BRA,1982,5771.1016
Brazil,BRA,1983,5410.9463
Brazil,BRA,1984,5446.1562
Brazil,BRA,1985,5634.639
Brazil,BRA,1986,5924.902
Brazil,BRA,1987,5992.0396
Brazil,BRA,1988,5904.858
Brazil,BRA,1989,5911.3477
Brazil,BRA,1990,5721.6543
Brazil,BRA,1991,5743.5034
Brazil,BRA,1992,5673.835
Brazil,BRA,1993,5839.4526
Brazil,BRA,1994,6089.5693
Brazil,BRA,1995,6421.3545
Brazil,BRA,1996,6752.8965
Brazil,BRA,1997,7174.8257
Brazil,BRA,1998,7297.089
Brazil,BRA,1999,7285.965
Brazil,BRA,2000,7615.244
Brazil,BRA,2001,7694.904
Brazil,BRA,2002,7574.8115
Brazil,BRA,2003,7447.3975
Brazil,BRA,2004,7760.0166
Brazil,BRA,2005,7784.0083
Brazil,BRA,2006,7877.327
Brazil,BRA,2007,8172.6836
Brazil,BRA,2008,8556.046
Brazil,BRA,2009,7992.5703
Brazil,BRA,2010,8909.68
Brazil,BRA,2011,9114.419
Brazil,BRA,2012,9678.659
Brazil,BRA,2013,10145.048
Brazil,BRA,2014,10517.655
Brazil,BRA,2015,10092.728
Brazil,BRA,2016,9263.867
Brazil,BRA,2017,9332.207
Brazil,BRA,2018,8836.361
Brazil,BRA,2019,8680.78
Brazil,BRA,2020,8002.5874
Brazil,BRA,2021,9005.032
Brazil,BRA,2022,8700.048
Brazil,BRA,2023,8677.089
Bulgaria,BGR,1965,13827.842
Bulgaria,BGR,1966,14757.899
Bulgaria,BGR,1967,17128.36
Bulgaria,BGR,1968,19326.047
Bulgaria,BGR,1969,21218.318
Bulgaria,BGR,1970,23650.936
Bulgaria,BGR,1971,24470.73
Bulgaria,BGR,1972,25071.217
Bulgaria,BGR,1973,25758.193
Bulgaria,BGR,1974,26246.19
Bulgaria,BGR,1975,28305.281
Bulgaria,BGR,1976,28993.344
Bulgaria,BGR,1977,30104.299
Bulgaria,BGR,1978,31395.629
Bulgaria,BGR,1979,32417.344
Bulgaria,BGR,1980,34242.625
Bulgaria,BGR,1981,32796.508
Bulgaria,BGR,1982,33400.082
Bulgaria,BGR,1983,33111.402
Bulgaria,BGR,1984,32851.22
Bulgaria,BGR,1985,32858.79
Bulgaria,BGR,1986,34019.824
Bulgaria,BGR,1987,34233.457
Bulgaria,BGR,1988,34089.28
Bulgaria,BGR,1989,34300.836
Bulgaria,BGR,1990,31704.281
Bulgaria,BGR,1991,25050.459
Bulgaria,BGR,1992,24073.803
Bulgaria,BGR,1993,25392.498
Bulgaria,BGR,1994,24120.621
Bulgaria,BGR,1995,25626.72
Bulgaria,BGR,1996,25240.916
Bulgaria,BGR,1997,23887.72
Bulgaria,BGR,1998,23101.232
Bulgaria,BGR,1999,20129.818
Bulgaria,BGR,2000,19513.828
Bulgaria,BGR,2001,20485.148
Bulgaria,BGR,2002,19439.008
Bulgaria,BGR,2003,21291.08
Bulgaria,BGR,2004,20643.8
Bulgaria,BGR,2005,22074.09
Bulgaria,BGR,2006,22589.615
Bulgaria,BGR,2007,23937.383
Bulgaria,BGR,2008,23381.717
Bulgaria,BGR,2009,19762.596
Bulgaria,BGR,2010,20370.924
Bulgaria,BGR,2011,22599.61
Bulgaria,BGR,2012,20900.92
Bulgaria,BGR,2013,18958.596
Bulgaria,BGR,2014,20201.037
Bulgaria,BGR,2015,21827.303
Bulgaria,BGR,2016,20933.736
Bulgaria,BGR,2017,22284.13
Bulgaria,BGR,2018,21121.172
Bulgaria,BGR,2019,20827.047
Bulgaria,BGR,2020,18760.398
Bulgaria,BGR,2021,21793.09
Bulgaria,BGR,2022,23545.316
Bulgaria,BGR,2023,19294.33
Canada,CAN,1965,52795.883
Canada,CAN,1966,54396.625
Canada,CAN,1967,56342.758
Canada,CAN,1968,59822.867
Canada,CAN,1969,61729.375
Canada,CAN,1970,65222.242
Canada,CAN,1971,65542.64
Canada,CAN,1972,68251.75
Canada,CAN,1973,72601.02
Canada,CAN,1974,72712.945
Canada,CAN,1975,71514.11
Canada,CAN,1976,73218.414
Canada,CAN,1977,76170.7
Canada,CAN,1978,74967.516
Canada,CAN,1979,75723.914
Canada,CAN,1980,75759.72
Canada,CAN,1981,72108.03
Canada,CAN,1982,69187.88
Canada,CAN,1983,65822.25
Canada,CAN,1984,68919.91
Canada,CAN,1985,68964.555
Canada,CAN,1986,67322.6
Canada,CAN,1987,68691.26
Canada,CAN,1988,72522.36
Canada,CAN,1989,74597.7
Canada,CAN,1990,69277.266
Canada,CAN,1991,66397.6
Canada,CAN,1992,68021.86
Canada,CAN,1993,67914.03
Canada,CAN,1994,69333.1
Canada,CAN,1995,71541.16
Canada,CAN,1996,72308.25
Canada,CAN,1997,73667.14
Canada,CAN,1998,74016.38
Canada,CAN,1999,75433.32
Canada,CAN,2000,76803.21
Canada,CAN,2001,75799.945
Canada,CAN,2002,77547.97
Canada,CAN,2003,78919.54
Canada,CAN,2004,78622.414
Canada,CAN,2005,76668.09
Canada,CAN,2006,75759.01
Canada,CAN,2007,78492.52
Canada,CAN,2008,75436.23
Canada,CAN,2009,71202.664
Canada,CAN,2010,72701.62
Canada,CAN,2011,73780
Canada,CAN,2012,72787.63
Canada,CAN,2013,73336.75
Canada,CAN,2014,73455.7
Canada,CAN,2015,72643.71
Canada,CAN,2016,70430.84
Canada,CAN,2017,70540.47
Canada,CAN,2018,71784.305
Canada,CAN,2019,70684.02
Canada,CAN,2020,63361.395
Canada,CAN,2021,64602.387
Canada,CAN,2022,66088.04
Canada,CAN,2023,64956.05
Chile,CHL,1965,6752.783
Chile,CHL,1966,7133.0435
Chile,CHL,1967,7141.7935
Chile,CHL,1968,7197.726
Chile,CHL,1969,7569.925
Chile,CHL,1970,7841.582
Chile,CHL,1971,8280.784
Chile,CHL,1972,8064.408
Chile,CHL,1973,7667.433
Chile,CHL,1974,7348.8
Chile,CHL,1975,6370.2065
Chile,CHL,1976,6517.2065
Chile,CHL,1977,6701.5757
Chile,CHL,1978,6856.991
Chile,CHL,1979,7187.755
Chile,CHL,1980,7268.3604
Chile,CHL,1981,7143.3975
Chile,CHL,1982,6253.296
Chile,CHL,1983,6299.9893
Chile,CHL,1984,6452.79
Chile,CHL,1985,6209.725
Chile,CHL,1986,6255.9526
Chile,CHL,1987,6375.483
Chile,CHL,1988,7395.5825
Chile,CHL,1989,8806.874
Chile,CHL,1990,9455.743
Chile,CHL,1991,9793.925
Chile,CHL,1992,10094.797
Chile,CHL,1993,10624.817
Chile,CHL,1994,11227.762
Chile,CHL,1995,11915.834
Chile,CHL,1996,13027.43
Chile,CHL,1997,14820.429
Chile,CHL,1998,15379.5625
Chile,CHL,1999,16363.512
Chile,CHL,2000,16061.935
Chile,CHL,2001,15734.414
Chile,CHL,2002,15765.249
Chile,CHL,2003,15858.839
Chile,CHL,2004,17316.486
Chile,CHL,2005,17208.912
Chile,CHL,2006,17436.092
Chile,CHL,2007,18035.553
Chile,CHL,2008,17378.723
Chile,CHL,2009,16218.079
Chile,CHL,2010,17157.926
Chile,CHL,2011,18308.828
Chile,CHL,2012,18870.238
Chile,CHL,2013,19188.342
Chile,CHL,2014,18432.725
Chile,CHL,2015,18102.402
Chile,CHL,2016,19151.92
Chile,CHL,2017,19045.4
Chile,CHL,2018,18946.553
Chile,CHL,2019,19053.412
Chile,CHL,2020,16997.432
Chile,CHL,2021,18504.69
Chile,CHL,2022,18727.951
Chile,CHL,2023,17838.598
China,CHN,1965,2031.997
China,CHN,1966,2157.3733
China,CHN,1967,1897.1613
China,CHN,1968,1856.8943
China,CHN,1969,2216.546
China,CHN,1970,2784.833
China,CHN,1971,3218.5413
China,CHN,1972,3385.7952
China,CHN,1973,3491.1692
China,CHN,1974,3517.504
China,CHN,1975,3880.876
China,CHN,1976,4028.6663
China,CHN,1977,4337.805
China,CHN,1978,4715.767
China,CHN,1979,4779.77
China,CHN,1980,4738.909
China,CHN,1981,4582.6865
China,CHN,1982,4693.545
China,CHN,1983,4898.982
China,CHN,1984,5198.792
China,CHN,1985,5543.2563
China,CHN,1986,5719.7026
China,CHN,1987,6066.88
China,CHN,1988,6402.3374
China,CHN,1989,6599.2646
China,CHN,1990,6555.6426
China,CHN,1991,6807.203
China,CHN,1992,7084.351
China,CHN,1993,7528.586
China,CHN,1994,7876.5693
China,CHN,1995,7996.816
China,CHN,1996,8390.287
China,CHN,1997,8362.765
China,CHN,1998,8311.814
China,CHN,1999,8565.098
China,CHN,2000,8769.296
China,CHN,2001,9110.631
China,CHN,2002,9881.281
China,CHN,2003,11529.113
China,CHN,2004,13365.722
China,CHN,2005,15107.3125
China,CHN,2006,16459.682
China,CHN,2007,17743.492
China,CHN,2008,18000.248
China,CHN,2009,18734.283
China,CHN,2010,19762.604
China,CHN,2011,21285.139
China,CHN,2012,21649.555
China,CHN,2013,22184.709
China,CHN,2014,22257.494
China,CHN,2015,22160.787
China,CHN,2016,21823.234
China,CHN,2017,22343.951
China,CHN,2018,23090.01
China,CHN,2019,23840.195
China,CHN,2020,24372.002
China,CHN,2021,25452.283
China,CHN,2022,25508.781
China,CHN,2023,27129.266
Colombia,COL,1965,4771.0015
Colombia,COL,1966,5224.7505
Colombia,COL,1967,5318.5605
Colombia,COL,1968,5325.077
