Entity,Code,Year,Oil consumption - TWh
Belgium,BEL,1986,264.9442
Belgium,BEL,1987,266.8484
Belgium,BEL,1988,275.22708
Belgium,BEL,1989,270.30554
Belgium,BEL,1990,279.09064
Belgium,BEL,1991,299.26672
Belgium,BEL,1992,305.2735
Belgium,BEL,1993,300.30597
Belgium,BEL,1994,326.46335
Belgium,BEL,1995,325.26587
Belgium,BEL,1996,352.25375
Belgium,BEL,1997,360.93057
Belgium,BEL,1998,365.94296
Belgium,BEL,1999,353.81247
Belgium,BEL,2000,359.53516
Belgium,BEL,2001,365.03632
Belgium,BEL,2002,366.56335
Belgium,BEL,2003,387.41565
Belgium,BEL,2004,392.12158
Belgium,BEL,2005,389.98645
Belgium,BEL,2006,388.74277
Belgium,BEL,2007,392.62915
Belgium,BEL,2008,411.8414
Belgium,BEL,2009,360.92197
Belgium,BEL,2010,374.98312
Belgium,BEL,2011,350.51743
Belgium,BEL,2012,337.58096
Belgium,BEL,2013,345.84137
Belgium,BEL,2014,338.91125
Belgium,BEL,2015,348.06155
Belgium,BEL,2016,352.9905
Belgium,BEL,2017,357.47388
Belgium,BEL,2018,383.168
Belgium,BEL,2019,358.85614
Belgium,BEL,2020,307.18332
Belgium,BEL,2021,341.01196
Belgium,BEL,2022,331.76276
Belgium,BEL,2023,315.10812
Brazil,BRA,1965,177.73056
Brazil,BRA,1966,193.79759
Brazil,BRA,1967,199.99173
Brazil,BRA,1968,240.19615
Brazil,BRA,1969,263.56772
Brazil,BRA,1970,301.26898
Brazil,BRA,1971,342.16653
Brazil,BRA,1972,388.73825
Brazil,BRA,1973,470.9368
Brazil,BRA,1974,522.1538
Brazil,BRA,1975,538.16486
Brazil,BRA,1976,579.715
Brazil,BRA,1977,590.5332
Brazil,BRA,1978,646.7667
Brazil,BRA,1979,688.5365
Brazil,BRA,1980,667.90845
Brazil,BRA,1981,643.2869
Brazil,BRA,1982,655.04785
Brazil,BRA,1983,611.24536
Brazil,BRA,1984,610.0693
Brazil,BRA,1985,628.43634
Brazil,BRA,1986,679.39355
Brazil,BRA,1987,696.63416
Brazil,BRA,1988,697.7388
Brazil,BRA,1989,715.05914
Brazil,BRA,1990,719.21423
Brazil,BRA,1991,720.02423
Brazil,BRA,1992,723.3313
Brazil,BRA,1993,753.877
Brazil,BRA,1994,801.57837
Brazil,BRA,1995,859.95514
Brazil,BRA,1996,921.4849
Brazil,BRA,1997,1003.6971
Brazil,BRA,1998,1042.4209
Brazil,BRA,1999,1044.3267
Brazil,BRA,2000,1091.0947
Brazil,BRA,2001,1099.6735
Brazil,BRA,2002,1077.904
Brazil,BRA,2003,1048.2212
Brazil,BRA,2004,1083.5645
Brazil,BRA,2005,1101.6764
Brazil,BRA,2006,1126.7306
Brazil,BRA,2007,1183.2921
Brazil,BRA,2008,1231.772
Brazil,BRA,2009,1218.8019
Brazil,BRA,2010,1305.4814
Brazil,BRA,2011,1351.8365
Brazil,BRA,2012,1431.951
Brazil,BRA,2013,1471.0026
Brazil,BRA,2014,1529.594
Brazil,BRA,2015,1436.5623
Brazil,BRA,2016,1360.2913
Brazil,BRA,2017,1374.2164
Brazil,BRA,2018,1307.2214
Brazil,BRA,2019,1301.5947
Brazil,BRA,2020,1228.7523
Brazil,BRA,2021,1327.6416
Brazil,BRA,2022,1390.6998
Brazil,BRA,2023,1418.9431
Bulgaria,BGR,1965,43.71547
Bulgaria,BGR,1966,49.874107
Bulgaria,BGR,1967,62.72245
Bulgaria,BGR,1968,74.33811
Bulgaria,BGR,1969,91.278786
Bulgaria,BGR,1970,106.039246
Bulgaria,BGR,1971,116.62912
Bulgaria,BGR,1972,121.28457
Bulgaria,BGR,1973,127.88814
Bulgaria,BGR,1974,132.98701
Bulgaria,BGR,1975,140.9609
Bulgaria,BGR,1976,146.48642
Bulgaria,BGR,1977,152.28668
Bulgaria,BGR,1978,156.79785
Bulgaria,BGR,1979,161.55992
Bulgaria,BGR,1980,165.02052
Bulgaria,BGR,1981,147.08585
Bulgaria,BGR,1982,142.53188
Bulgaria,BGR,1983,137.64603
Bulgaria,BGR,1984,132.17894
Bulgaria,BGR,1985,122.13932
Bulgaria,BGR,1986,128.74698
Bulgaria,BGR,1987,123.71195
Bulgaria,BGR,1988,131.34586
Bulgaria,BGR,1989,128.12546
Bulgaria,BGR,1990,118.9007
Bulgaria,BGR,1991,79.400375
Bulgaria,BGR,1992,71.27456
Bulgaria,BGR,1993,77.61299
Bulgaria,BGR,1994,73.34055
Bulgaria,BGR,1995,75.31128
Bulgaria,BGR,1996,69.351074
Bulgaria,BGR,1997,54.51871
Bulgaria,BGR,1998,57.887005
Bulgaria,BGR,1999,53.773804
Bulgaria,BGR,2000,50.755096
Bulgaria,BGR,2001,52.527763
Bulgaria,BGR,2002,52.79946
Bulgaria,BGR,2003,55.726036
Bulgaria,BGR,2004,53.97488
Bulgaria,BGR,2005,59.339947
Bulgaria,BGR,2006,60.025085
Bulgaria,BGR,2007,58.88495
Bulgaria,BGR,2008,57.86655
Bulgaria,BGR,2009,52.825085
Bulgaria,BGR,2010,47.891853
Bulgaria,BGR,2011,45.732883
Bulgaria,BGR,2012,47.573124
Bulgaria,BGR,2013,44.214947
Bulgaria,BGR,2014,47.711754
Bulgaria,BGR,2015,53.301296
Bulgaria,BGR,2016,54.210262
Bulgaria,BGR,2017,56.917362
Bulgaria,BGR,2018,56.655533
Bulgaria,BGR,2019,59.417183
Bulgaria,BGR,2020,53.383244
Bulgaria,BGR,2021,56.077927
Bulgaria,BGR,2022,59.94147
Bulgaria,BGR,2023,59.203373
CIS (EI),,1965,1994.8495
CIS (EI),,1966,2136.2473
CIS (EI),,1967,2327.5435
CIS (EI),,1968,2481.1162
CIS (EI),,1969,2638.379
CIS (EI),,1970,2904.4417
CIS (EI),,1971,3079.1697
CIS (EI),,1972,3339.661
CIS (EI),,1973,3590.3982
CIS (EI),,1974,3944.1707
CIS (EI),,1975,4134.596
CIS (EI),,1976,4248.6206
CIS (EI),,1977,4418.7495
CIS (EI),,1978,4689.1055
CIS (EI),,1979,4771.3433
CIS (EI),,1980,5001.7017
CIS (EI),,1981,5045.3105
CIS (EI),,1982,5008.4785
CIS (EI),,1983,4935.318
CIS (EI),,1984,4936.0293
CIS (EI),,1985,3917.506
CIS (EI),,1986,3967.745
CIS (EI),,1987,3977.71
CIS (EI),,1988,3953.7275
CIS (EI),,1989,3984.682
CIS (EI),,1990,4011.184
CIS (EI),,1991,3867.1113
CIS (EI),,1992,3583.4229
CIS (EI),,1993,2957.1611
CIS (EI),,1994,2563.1704
CIS (EI),,1995,2262.131
CIS (EI),,1996,1989.7223
CIS (EI),,1997,1966.3823
CIS (EI),,1998,1875.1455
CIS (EI),,1999,1866.2653
CIS (EI),,2000,1879.6154
CIS (EI),,2001,1881.3643
CIS (EI),,2002,1838.8533
CIS (EI),,2003,1898.6586
CIS (EI),,2004,1902.5625
CIS (EI),,2005,1898.736
CIS (EI),,2006,2003.9578
CIS (EI),,2007,1994.4147
